"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"379","Jack Sikma",1984,"C",28,"SEA",82,36.5,7,14.1,0.499,0,0,0,7,14.1,0.5,0.499,5,5.9,0.856,2.7,8.4,11.1,4,1.2,1.1,2.9,3.7,19.1,2993,19.7,0.572,0.002,0.416,8.6,25.9,16,1.5,1.7,14.7,22.2,5.3,4.4,9.7,0.156,1.7,2.3,4.5
"380","Jack Sikma",1985,"C",29,"SEA",68,35.3,6.8,13.9,0.489,0,0.1,0.2,6.8,13.7,0.492,0.49,4.9,5.8,0.852,2.4,8.2,10.6,4.2,1.2,1.3,2.4,3.5,18.5,2402,20.4,0.564,0.011,0.417,7.9,27,18.6,1.7,2.2,12.5,22.2,4.6,3.7,8.3,0.166,1.7,2.8,4
"381","Jamaal Magloire",2004,"C",25,"NOH",82,33.9,4.7,9.9,0.473,0,0,0,4.7,9.9,0.474,0.473,4.3,5.7,0.751,3.3,7.1,10.4,1,0.5,1.2,2.5,3.4,13.6,2777,16.5,0.551,0.001,0.581,10.7,24.4,5.5,0.8,2.8,16.5,20,3.9,3.7,7.6,0.131,-2,0.4,0.3
"382","Jamaal Wilkes",1981,"SF",27,"LAL",81,37.4,9.7,18.5,0.526,0,0.2,0.077,9.7,18.3,0.53,0.526,3.1,4.1,0.758,1.8,3.6,5.4,2.9,1.5,0.4,2.6,2.8,22.6,3028,18,0.556,0.009,0.224,5.6,9.8,11.2,1.9,0.5,11.2,24.5,5.5,3,8.5,0.135,1.7,-0.9,2.2
"383","Jamaal Wilkes",1983,"SF",29,"LAL",80,31.9,8.6,16.1,0.53,0,0.1,0,8.6,16.1,0.533,0.53,2.5,3.4,0.757,1.8,2.5,4.3,2.3,0.8,0.2,1.9,2.8,19.6,2552,17.6,0.558,0.005,0.208,6.6,8.2,9.7,1.2,0.4,9.6,24.1,6.1,1.3,7.4,0.139,2.1,-2.4,1.1
"384","Jamal Mashburn",2003,"SF",30,"NOH",82,40.5,8.2,19.3,0.422,1.5,3.7,0.389,6.7,15.6,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1,0.2,2.8,2.4,21.6,3321,18,0.507,0.193,0.233,2.3,15.3,26.2,1.3,0.4,11.6,27.1,5.4,3.6,9,0.13,2.4,-0.4,3.3
"385","James Donaldson",1988,"C",30,"DAL",81,31.1,2.6,4.7,0.558,0,0,0,2.6,4.7,0.558,0.558,1.8,2.3,0.778,3,6.3,9.3,0.8,0.5,1.3,1.4,2.2,7,2523,12.4,0.616,0,0.497,10.8,21.5,3.4,0.8,2.4,19.6,9.4,3,3.3,6.2,0.119,-0.9,1.9,2
"386","James Harden",2013,"SG",23,"HOU",78,38.3,7.5,17.1,0.438,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,2985,23,0.6,0.364,0.592,2.4,11.9,25.7,2.4,1,14.9,29,9.8,3,12.8,0.206,5.4,0.1,5.7
"387","James Harden",2014,"SG",24,"HOU",73,38,7.5,16.5,0.456,2.4,6.6,0.366,5.1,9.9,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,2777,23.5,0.618,0.401,0.552,2.6,10.7,27.3,2.1,0.8,15,27.8,10.1,2.7,12.8,0.221,6.2,-0.5,5.4
"388","James Harden",2015,"SG",25,"HOU",81,36.8,8,18.1,0.44,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.6,7,1.9,0.7,4,2.6,27.4,2981,26.7,0.605,0.378,0.561,2.8,14.2,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.4,1,7.8
"389","James Harden",2016,"SG",26,"HOU",82,38.1,8.7,19.7,0.439,2.9,8,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29,3125,25.3,0.598,0.406,0.518,2.2,15.6,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,0.204,7.1,-0.4,6.9
"390","James Harden",2017,"PG",27,"HOU",81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7,8.2,11.2,1.5,0.5,5.7,2.7,29.1,2947,27.4,0.613,0.493,0.575,3.5,20.9,50.7,2,1,19.5,34.2,11.5,3.6,15,0.245,8.7,1.5,9
