"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","Receptions","RecYds","RecLong","RecTDs","RushAtt","RushYds","RushLong","RushTDs","FumLost"
"Brandin Cooks","WR","NE",14,"12/11","MIA",0,"L","20-27",1,1,1,38,"38",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",15,"12/17","PIT",0,"W","27-24",1,1,4,60,"43",1,0,0,"0",0,0
"Brandin Cooks","WR","NE",16,"12/24","BUF",1,"W","37-16",1,1,2,19,"14",0,1,6,"6",0,0
"Brandin Cooks","WR","NE",17,"12/31","NYJ",1,"W","26-6",1,1,5,79,"37",1,3,8,"12",0,0
"A.J. Green","WR","CIN",1,"09/10","BAL",1,"L","0-20",1,1,5,74,"27",0,0,0,"0",0,0
"A.J. Green","WR","CIN",2,"09/14","HOU",1,"L","9-13",1,1,5,67,"50",0,0,0,"0",0,0
"A.J. Green","WR","CIN",3,"09/24","GB",0,"L","24-27",1,1,10,111,"20",1,0,0,"0",0,0
"A.J. Green","WR","CIN",4,"10/01","CLE",0,"W","31-7",1,1,5,63,"25",1,0,0,"0",0,0
"A.J. Green","WR","CIN",5,"10/08","BUF",1,"W","20-16",1,1,7,189,"77T",1,0,0,"0",0,1
"A.J. Green","WR","CIN",7,"10/22","PIT",0,"L","14-29",1,1,3,41,"16",0,0,0,"0",0,0
"A.J. Green","WR","CIN",8,"10/29","IND",1,"W","24-23",1,1,3,27,"14",1,0,0,"0",0,0
"A.J. Green","WR","CIN",9,"11/05","JAX",0,"L","7-23",1,1,1,6,"6",0,0,0,"0",0,0
"A.J. Green","WR","CIN",10,"11/12","TEN",0,"L","20-24",1,1,5,115,"70T",1,0,0,"0",0,0
"A.J. Green","WR","CIN",11,"11/19","DEN",0,"W","20-17",1,1,4,50,"18T",1,0,0,"0",0,0
"A.J. Green","WR","CIN",12,"11/26","CLE",1,"W","30-16",1,1,5,66,"18",0,0,0,"0",0,0
"A.J. Green","WR","CIN",13,"12/04","PIT",1,"L","20-23",1,1,7,77,"17",2,0,0,"0",0,0
