"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"C.J. Anderson","RB","DEN",4,"10/01","OAK",1,"W","16-10",1,1,20,95,"40",0,4,17,"8",0,0
"C.J. Anderson","RB","DEN",6,"10/15","NYG",1,"L","10-23",1,1,9,17,"6",0,0,0,"0",0,0
"C.J. Anderson","RB","DEN",7,"10/22","LAC",0,"L","0-21",1,1,10,44,"11",0,1,17,"17",0,0
"C.J. Anderson","RB","DEN",8,"10/30","KC",0,"L","19-29",1,1,15,78,"12",0,1,7,"7",0,0
"C.J. Anderson","RB","DEN",9,"11/05","PHI",0,"L","23-51",1,1,9,13,"4",0,0,0,"0",0,0
"C.J. Anderson","RB","DEN",10,"11/12","NE",1,"L","16-41",1,1,10,54,"21",0,1,1,"1",0,0
"C.J. Anderson","RB","DEN",11,"11/19","CIN",1,"L","17-20",1,1,13,37,"7",1,2,19,"13",0,1
"C.J. Anderson","RB","DEN",12,"11/26","OAK",0,"L","14-21",1,1,5,12,"4",0,0,0,"0",0,0
"C.J. Anderson","RB","DEN",13,"12/03","MIA",0,"L","9-35",1,1,15,67,"14",0,4,43,"25",0,0
"C.J. Anderson","RB","DEN",14,"12/10","NYJ",1,"W","23-0",1,1,22,48,"7",0,2,25,"13",0,0
"C.J. Anderson","RB","DEN",15,"12/14","IND",0,"W","25-13",1,1,30,158,"16",0,0,0,"0",0,0
"C.J. Anderson","RB","DEN",16,"12/24","WAS",0,"L","11-27",1,1,16,88,"21",1,7,45,"14",0,0
"C.J. Anderson","RB","DEN",17,"12/31","KC",1,"L","24-27",1,1,18,61,"10",0,0,0,"0",0,0
"Ezekiel Elliott","RB","DAL",1,"09/10","NYG",1,"W","19-3",1,1,24,104,"10",0,5,36,"30",0,0
"Ezekiel Elliott","RB","DAL",2,"09/17","DEN",0,"L","17-42",1,1,9,8,"5",0,4,14,"9",0,0
"Ezekiel Elliott","RB","DAL",3,"09/25","ARI",0,"W","28-17",1,1,22,80,"30",1,3,14,"10",0,0
"Ezekiel Elliott","RB","DAL",4,"10/01","LA",1,"L","30-35",1,1,21,85,"16",1,4,54,"31",1,0
"Ezekiel Elliott","RB","DAL",5,"10/08","GB",1,"L","31-35",1,1,29,116,"25",0,1,16,"20",0,0
"Ezekiel Elliott","RB","DAL",7,"10/22","SF",0,"W","40-10",1,1,26,147,"25T",2,1,72,"72T",1,0
"Ezekiel Elliott","RB","DAL",8,"10/29","WAS",0,"W","33-19",1,1,33,150,"14",2,1,4,"4",0,1
"Ezekiel Elliott","RB","DAL",9,"11/05","KC",1,"W","28-17",1,1,27,93,"11",1,0,0,"0",0,0
"Ezekiel Elliott","RB","DAL",16,"12/24","SEA",1,"L","12-21",1,1,24,97,"9",0,4,21,"9",0,0
"Ezekiel Elliott","RB","DAL",17,"12/31","PHI",0,"W","6-0",1,1,27,103,"25",0,3,38,"22",0,0
"Alex Collins","RB","BAL",2,"09/17","CLE",1,"W","24-10",1,0,7,42,"16",0,0,0,"0",0,1
"Alex Collins","RB","BAL",3,"09/24","JAX",0,"L","7-44",1,0,9,82,"19",0,0,0,"0",0,0
"Alex Collins","RB","BAL",4,"10/01","PIT",1,"L","9-26",1,1,9,82,"50",0,0,0,"0",0,1
"Alex Collins","RB","BAL",5,"10/08","OAK",0,"W","30-17",1,0,12,55,"25",0,0,0,"0",0,0
